Plugin id,Path,Community,Needs to be split?,Third Party Repo URL,Custom URL,Version in third party repo,Version in our repo,Third Party Commit Hash,Last commit hash on monorepo,In sync,,URL
atto_panoptoltibutton,/lib/editor/atto/plugins/panoptoltibutton,No,,https://github.com/lucisgit/moodle-block_panopto,,2015030301,2024120600,7add7388c9b29d7dd3afb2767a6ab726e61d5bef,,No,,https://github.com/lucisgit/moodle-block_panopto
atto_phonetic,/lib/editor/atto/plugins/phonetic,Yes,,DEFUNCT?,https://github.com/lsuonline/moodle_atto_phonetic,2017051500,2017051500,59e88d885f9d2c87a57a819d543ddbd672e00871,,Yes,,https://github.com/lsuonline/moodle_atto_phonetic
atto_teamsmeeting,/lib/editor/atto/plugins/teamsmeeting,Yes,,https://github.com/enovation/moodle-atto_teamsmeeting,,2020032707,2020032707,957dc7d72ab36f8f63abeca3e2b1058d0ea56973,,Yes,,https://github.com/enovation/moodle-atto_teamsmeeting
atto_vidgridbutton,/lib/editor/atto/plugins/vidgridbutton,No,,https://github.com/ilosvideos/moodleAttoPlugin,,2018112801,2018112801,6d0c79d4e63487b674fcbbce2b92236647c6f62b,27c8abb07643581c93b511ba716cca5f11649924,Yes,,https://github.com/ilosvideos/moodleAttoPlugin
atto_wiris,/lib/editor/atto/plugins/wiris,Yes,,https://github.com/wiris/moodle-atto_wiris,,2025041400,2025041400,c9ef9263829d902c5b644a60e9711719a6e8ccfd,c9ef9263829d902c5b644a60e9711719a6e8ccfd,Yes,,https://github.com/wiris/moodle-atto_wiris
atto_wordimport,/lib/editor/atto/plugins/wordimport,Yes,,https://github.com/ecampbell/moodle-atto_wordimport,,2025042800,2025042800,4b8d827d7957cb4ad083007b8d866d7955ce83a9,4b8d827d7957cb4ad083007b8d866d7955ce83a9,Yes,,https://github.com/ecampbell/moodle-atto_wordimport
tiny_cloze,/lib/editor/tiny/plugins/cloze,Yes,,https://github.com/srobotta/moodle-tiny_cloze,,2025100901,2025100901,6a01069593bca8348d23bf77d01c1d0810be14f6,4b9bd3311ef84cfa39ccf1370530e839d3ca18e0,Yes,,https://github.com/srobotta/moodle-tiny_cloze
tiny_fontcolor,/lib/editor/tiny/plugins/fontcolor,Yes,,https://github.com/bfh/moodle-tiny_fontcolor,,2025101000,2025101000,c55c2dd0f58f7662dc81aa16e7c6928cd3515ea9,c28ffe5d20c4931373e8e4ccd601b1b22d2c03d4,Yes,,https://github.com/bfh/moodle-tiny_fontcolor
tiny_fontfamily,/lib/editor/tiny/plugins/fontfamily,Yes,,https://github.com/finspire-fi/moodle-tiny_fontfamily,,2026022300,2025062900,597fc12696be202a8decb24b01ff89c312c48f64,b0be3dff904a5c2d56dc1d5e74a9f1ebd32b63d4,No,,https://github.com/finspire-fi/moodle-tiny_fontfamily
tiny_fontsize,/lib/editor/tiny/plugins/fontsize,Yes,,https://github.com/finspire-fi/moodle-tiny_fontsize,,2026022300,2025062900,3e22d38bb5cfc32af0066ada5be01d7268c5a8f7,f43f637317cef179e34ef7da774c67153f8f6f4c,No,,https://github.com/finspire-fi/moodle-tiny_fontsize
tiny_kalturamedia,/lib/editor/tiny/plugins/kalturamedia,No,,https://github.com/kaltura/moodle-tinymce_kalturamedia,,2014013000,2024100700,237cdf914d6034ee4c692f06b91d3c164bdc86d0,,No,,https://github.com/kaltura/moodle-tinymce_kalturamedia
tiny_panoptoltibutton,/lib/editor/tiny/plugins/panoptoltibutton,No,,https://github.com/Panopto/moodle-tiny_panoptoltibutton,,2025112600,2024120600,db9c344317fd4ade3479b9fa1f38dc2a0b85b5bd,bac09812338035b9b81dbc72ca92a277d9b1e1f0,No,,https://github.com/Panopto/moodle-tiny_panoptoltibutton
